ID,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,What is your birth day (e.g. October 28-report 28)?,What is your birth month (e.g. October 28-report 10)?,What is your home country?,What is your home state?,What is your home city?,What is your highest education level?
1,Yes,No,Water filter,Stop and smell the roses,Sunday,Hummingbird (I am neither a lark nor an owl),scallops,coffee,Fall,October,Reading,,Epidemiology/Biostatistics,R,4,5,>2 years,"1. Restricted mean survival time
2. GGPlot
3. Assumptions",Cancer,7,twenty-eight,Oct,United States,Missouri,Saint Louis,Doctoral degree
2,Yes,Yes,Unperishable snack,,Thursday,Lark ( I am a morning person),Rice and Beans,Coke Zero,Spring,April,Sleeping,MPH only,Global Health,SPSS,1,3,0-3 months,1. Working with large datasets. 2. Dealing with large amounts of missing data 3. Leveraging available data to ask a research question,"Nutrition, obesity and diabetes prevention",7,12,4,Ghana,,Accra,Bachelor's degree
3,Yes,Yes,a close friend,"Do nothing out of selfish ambition or conceit, but in humility consider others as more important than yourselves.",Sunday,Owl (I am a night person),sashimi,boba milk tea,Fall,September,ultimate Frisbee,MPH only,Epidemiology/Biostatistics,R,4,3,>1 to 2 years,"1. version control with Git
2. analysis methods for missing data or data of uncertain quality
3. philosophy behind causal inference",violence prevention and child development in among displaced populations,0,25,3,Taiwan,,Taichung,Bachelor's degree
4,Ambivalent,Yes,Nintendo Switch,Enjoy your life.,Friday,Owl (I am a night person),,Cokecola,Spring,February,Sneaker collection,MPH only,Epidemiology/Biostatistics,R,4,4,>2 years,How to make data analysis interesting; how to dig deep through data; how to remember all assumptions for models test,cancer,7,20,3,China,Shandong,"Yantai, Haiyang",Master's degree
5,Ambivalent,Yes,Water desalinator,There is no spoon.,Monday,Hummingbird (I am neither a lark nor an owl),Peanut butter,Diet coke,Summer,July,Bicycling,MPH only,Epidemiology/Biostatistics,R,5,5,>2 years,"Survival analysis, DAGs, version control",Diabetes,5,5,7,United States,Michigan,Portage,Bachelor's degree
6,Yes,Yes,A puppy,You only live once,Friday,Hummingbird (I am neither a lark nor an owl),Hot pot,milk tea,Fall,October,painting,MPH only,Epidemiology/Biostatistics,Stata,2,4,7-9 months,analytic skills; more about R programming,nutrition,7,24,2,China,Shanghai,SHANGHAI,Bachelor's degree
7,No,Yes,water filter,Ca va aller. ,Saturday,Hummingbird (I am neither a lark nor an owl),Rice,Black Coffee,Fall,May,Dancing,MPH only,Epidemiology/Biostatistics,SPSS,2,1,0-3 months,"How to code in R, better understanding of linear models, learn more possible analyses",Infectious Diseases (malaria),7,30,5,United States,Missouri,St. Louis,Bachelor's degree
8,Yes,Yes,My mom,,Friday,Owl (I am a night person),pepper,Milk,Fall,June,Cooking,MPH only,Epidemiology/Biostatistics,SPSS,4,4,9 months to 1 year,Choosing the appropriate analysis methods,"Cancer, chronic diseases",6,16,6,China,Chongqing,Chongqing,Master's degree
9,Ambivalent,Yes,Cell phone,"Whenever you do what you want, nothing is more important than happiness",Friday,Hummingbird (I am neither a lark nor an owl),All delicious food,Juice,Winter,November,Daze,MPH only,Epidemiology/Biostatistics,R,3,3,0-3 months,"Statistical theory, coding, Problem-solving skills",Nutrition,5,25,11,China,Henan,Zhengzhou,Master's degree
10,Ambivalent,Yes,Pocket knife ,"Leadership isn't measured by the number of followers you have, but the number of leaders you create.",Thursday,Hummingbird (I am neither a lark nor an owl),Cheetos,Mango lassi ,Spring,June,Writing,MPH only,Generalist,R,3,3,9 months to 1 year,Deepen my knowledge of R,"Racial disparities, incarceration and health, health status of Native Americans",7,8,6,United States,Montana,Missoula,Bachelor's degree
